"Product title";"Handle";"Product URL";"Shopify product ID";"Rollenbreiten";"Anzahl echter Varianten";"Anzahl opc-* Varianten";"Empfehlung Google & YouTube";"Grund"
"Landora Eiche Grau â€“ Vinylboden von der Rolle";"livano-eiche-grau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/livano-eiche-grau-vinylboden-von-der-rolle";"15982031667534";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Landora Eiche Hellgrau-Beige â€“ Vinylboden von der Rolle";"livano-eiche-hellgrau-beige-vinylboden-300cm";"https://www.teppich-paradies.net/products/livano-eiche-hellgrau-beige-vinylboden-300cm";"15965887037774";"3,00 m";"1";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Landora Eiche Natur â€“ Vinylboden von der Rolle";"livano-eiche-natur-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/livano-eiche-natur-vinylboden-von-der-rolle";"15982140195150";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Landora Honig-Eiche Schiffsboden â€“ Vinylboden von der Rolle";"livano-honig-eiche-schiffsboden-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/livano-honig-eiche-schiffsboden-vinylboden-von-der-rolle";"15982139048270";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Landora Eiche Beige â€“ Vinylboden von der Rolle";"livano-vinyl-von-der-rolle-300cm-eiche-beige";"https://www.teppich-paradies.net/products/livano-vinyl-von-der-rolle-300cm-eiche-beige";"15981938606414";"3,00 m";"1";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Landora Walnuss Planke â€“ Vinylboden von der Rolle";"livano-walnuss-planke-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/livano-walnuss-planke-vinylboden-von-der-rolle";"15982139638094";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Buche GedÃ¤mpft â€“ Vinylboden von der Rolle";"marano-buche-gedampft-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-buche-gedampft-vinylboden-von-der-rolle";"15982367801678";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Braun â€“ Vinylboden von der Rolle";"marano-eiche-braun-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-braun-vinylboden-von-der-rolle";"15982370193742";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Dunkelbraun â€“ Vinylboden von der Rolle";"marano-eiche-dunkelbraun-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-dunkelbraun-vinylboden-von-der-rolle";"15982369571150";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche FischgrÃ¤t Hell â€“ Vinylboden von der Rolle";"marano-eiche-fischgrat-hell-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-fischgrat-hell-vinylboden-von-der-rolle";"15982369931598";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche FischgrÃ¤t â€“ Vinylboden von der Rolle";"marano-eiche-fischgrat-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-fischgrat-vinylboden-von-der-rolle";"15982369866062";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Goldbraun â€“ Vinylboden von der Rolle";"marano-eiche-goldbraun-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-goldbraun-vinylboden-von-der-rolle";"15982370357582";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche GrauweiÃŸ â€“ Vinylboden von der Rolle";"marano-eiche-grauweiss-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-grauweiss-vinylboden-von-der-rolle";"15982370586958";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Hellbeige â€“ Vinylboden von der Rolle";"marano-eiche-hellbeige-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-hellbeige-vinylboden-von-der-rolle";"15982039793998";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Hell â€“ Vinylboden von der Rolle";"marano-eiche-hell-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-hell-vinylboden-von-der-rolle";"15982369800526";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Honig â€“ Vinylboden von der Rolle";"marano-eiche-honig-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-honig-vinylboden-von-der-rolle";"15982368424270";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Landhaus Grau â€“ Vinylboden von der Rolle";"marano-eiche-landhaus-grau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-landhaus-grau-vinylboden-von-der-rolle";"15982367605070";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Landhaus Natur â€“ Vinylboden von der Rolle";"marano-eiche-landhaus-natur-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-landhaus-natur-vinylboden-von-der-rolle";"15982367736142";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Mittelbraun â€“ Vinylboden von der Rolle";"marano-eiche-mittelbraun-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-mittelbraun-vinylboden-von-der-rolle";"15982368719182";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Naturbeige â€“ Vinylboden von der Rolle";"marano-eiche-naturbeige-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-naturbeige-vinylboden-von-der-rolle";"15982370488654";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Natur â€“ Vinylboden von der Rolle";"marano-eiche-natur-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-natur-vinylboden-von-der-rolle";"15982369276238";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Nussbraun â€“ Vinylboden von der Rolle";"marano-eiche-nussbraun-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-nussbraun-vinylboden-von-der-rolle";"15982370226510";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Perlgrau â€“ Vinylboden von der Rolle";"marano-eiche-perlgrau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-perlgrau-vinylboden-von-der-rolle";"15982370750798";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Planke â€“ Vinylboden von der Rolle";"marano-eiche-planke-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-planke-vinylboden-von-der-rolle";"15982367670606";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Rauchgrau â€“ Vinylboden von der Rolle";"marano-eiche-rauchgrau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-rauchgrau-vinylboden-von-der-rolle";"15982370718030";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Sandbeige â€“ Vinylboden von der Rolle";"marano-eiche-sandbeige-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-sandbeige-vinylboden-von-der-rolle";"15982369767758";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche Taupe â€“ Vinylboden von der Rolle";"marano-eiche-taupe-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-taupe-vinylboden-von-der-rolle";"15982370128206";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche WeiÃŸ Creme â€“ Vinylboden von der Rolle";"marano-eiche-weiss-creme-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-weiss-creme-vinylboden-von-der-rolle";"15982370816334";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche WeiÃŸgrau â€“ Vinylboden von der Rolle";"marano-eiche-weissgrau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-weissgrau-vinylboden-von-der-rolle";"15982370390350";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Eiche WeiÃŸ â€“ Vinylboden von der Rolle";"marano-eiche-weiss-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-eiche-weiss-vinylboden-von-der-rolle";"15982370521422";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Stein Beige â€“ Vinylboden von der Rolle";"marano-stein-beige-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-stein-beige-vinylboden-von-der-rolle";"15982368555342";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Stein Creme â€“ Vinylboden von der Rolle";"marano-stein-creme-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-stein-creme-vinylboden-von-der-rolle";"15982368653646";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Stein Grau â€“ Vinylboden von der Rolle";"marano-stein-grau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-stein-grau-vinylboden-von-der-rolle";"15982368489806";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Terracora Stein Hellgrau â€“ Vinylboden von der Rolle";"marano-stein-hellgrau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/marano-stein-hellgrau-vinylboden-von-der-rolle";"15982370029902";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Merinda Teppichboden 400cm 500cm";"merinda-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/merinda-teppichboden-400cm-500cm";"15983023456590";"4,00 m | 5,00 m";"16";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Nordica Teppichboden 400cm 500cm";"nordica-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/nordica-teppichboden-400cm-500cm";"15983031058766";"4,00 m | 5,00 m";"12";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Norway Teppichboden 400cm";"norway-teppichboden-400cm-und-500cm-kopie";"https://www.teppich-paradies.net/products/norway-teppichboden-400cm-und-500cm-kopie";"15914448224590";"4,00 m";"6";"0";"EXCLUDE";"Produkt am 2026-08-30 in Shopify geloescht; URL leitet dauerhaft auf /collections/teppichboden um."
"Novaris Teppichboden 400cm 500cm";"novaris-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/novaris-teppichboden-400cm-500cm";"15983225012558";"4,00 m | 5,00 m";"28";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Nuvara Teppichboden 400cm 500cm";"nuvara-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/nuvara-teppichboden-400cm-500cm";"15983226716494";"4,00 m | 5,00 m";"30";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Ombra Teppichboden 400cm 500cm";"ombra-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/ombra-teppichboden-400cm-500cm";"15982983119182";"4,00 m | 5,00 m";"8";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Palenza Teppichboden 400cm 500cm";"palenza-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/palenza-teppichboden-400cm-500cm";"15983224521038";"4,00 m | 5,00 m";"24";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Palura Teppichboden 400cm 500cm";"palura-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/palura-teppichboden-400cm-500cm";"15982981382478";"4,00 m | 5,00 m";"22";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Piumera Teppichboden 400cm 500cm";"piumera-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/piumera-teppichboden-400cm-500cm";"15983230681422";"4,00 m | 5,00 m";"28";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Regalia Teppichboden 400cm";"regalia-teppichboden-400cm";"https://www.teppich-paradies.net/products/regalia-teppichboden-400cm";"15983212167502";"4,00 m";"5";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Reganza Teppichboden 400cm 500cm";"reganza-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/reganza-teppichboden-400cm-500cm";"15983222587726";"4,00 m | 5,00 m";"30";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Rivena Teppichboden 400cm";"rivena-teppichboden-400cm";"https://www.teppich-paradies.net/products/rivena-teppichboden-400cm";"15983003304270";"4,00 m";"9";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Rohan Teppichboden 400cm 500cm";"rohan-teppichboden-400cm";"https://www.teppich-paradies.net/products/rohan-teppichboden-400cm";"15914534076750";"4,00 m | 5,00 m";"10";"0";"EXCLUDE";"Produkt am 2026-08-30 in Shopify geloescht; URL leitet dauerhaft auf /collections/teppichboden um."
"Rubira Teppichboden 400cm 500cm";"rubira-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/rubira-teppichboden-400cm-500cm";"15983214657870";"4,00 m | 5,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Saphir Teppichboden 400cm und 500cm";"saphir-teppichboden-400cm-und-500cm";"https://www.teppich-paradies.net/products/saphir-teppichboden-400cm-und-500cm";"15908642521422";"4,00 m | 5,00 m";"14";"0";"EXCLUDE";"Produkt am 2026-08-30 in Shopify geloescht; URL leitet dauerhaft auf /collections/teppichboden um."
"Savena Teppichboden 400cm 500cm";"savena-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/savena-teppichboden-400cm-500cm";"15982985707854";"4,00 m | 5,00 m";"16";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Softic Teppichboden";"seleno-teppichboden";"https://www.teppich-paradies.net/products/seleno-teppichboden";"10420074086734";"4,00 m";"9";"2";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Sentira Teppichboden 400cm 500cm";"sentira-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/sentira-teppichboden-400cm-500cm";"15983227863374";"4,00 m | 5,00 m";"30";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Sisara Teppichboden 400cm 500cm";"sisara-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/sisara-teppichboden-400cm-500cm";"15983210234190";"4,00 m | 5,00 m";"10";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Sisola Teppichboden 400cm 500cm";"sisola-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/sisola-teppichboden-400cm-500cm";"15983210594638";"4,00 m | 5,00 m";"10";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Softiq Teppichboden";"softiq-teppichboden";"https://www.teppich-paradies.net/products/softiq-teppichboden";"10411906007374";"5,00 m";"14";"1";"EXCLUDE";"Produkt am 2026-08-30 in Shopify geloescht; URL leitet dauerhaft auf /collections/teppichboden um. Zuvor: dynamisch berechneter Gesamtpreis / Grundpreis EUR/m2 entsprach nicht dem direkt kaufbaren Mindestgesamtpreis."
"Practiva Teppichboden 400cm 500cm";"solano-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/solano-teppichboden-400cm-500cm";"15982708293966";"4,00 m | 5,00 m";"18";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Solera Teppichboden 400cm 500cm";"solera-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/solera-teppichboden-400cm-500cm";"15982987477326";"4,00 m | 5,00 m";"10";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
